,Name,Image,Page title (60 char),Site Keywords,Meta description (155 char),Google Search Preview,Product Description,Product Highlights,Additional Information,,,,,,,,,,,,,,,,,,,,
,AKS-R50 0.50L Lifestyle Twist Cap Tumbler with Handle,,Lifestyle Twist Cap Vacuum Tumbler 0.5L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 316 flask",The Peacock Lifestyle Twist Cap Vacuum Tumbler is seamlessly designed to compliment your daily style and made from SUS316 stainless steel for durability.,,"Don't forget your Peacock Lifestyle Vacuum Tumbler before heading out! This stainless steel SUS316 flask is durable and rust-resistant to withstand the rigours of everyday use.

V2:
The Peacock LifestyleTwist Cap Tumbler will keep you hydrated without weighing you down. Its sleek design makes it easy to slot into a bag or purse, while staying 100% leak-proof to protect your favourite drink.

V3:
Make the Peacock Lifestyle Twist Cap Tumbler your go-to coffee flask for cafe hopping, commuting, or even a day at home. It's easy to slip into a bag, with excellent heat retention to lock in the freshness of your brew.","SUS316 stainless steel - Rust-resistant, vacuum insulated bottle with a powder-coated finish (lightly textured coating).

100% leak-proof and durable - Leak-proof, equipped with a handle and detachable anti-shock bottom cover to protect your bottle.

Wide mouth diameter - 55mm wide mouth lets you enjoy the rich aroma of coffee and easily fits ice cubes for cold beverages. 

Comfortable to use - Tapered metal edge of bottle mouth mimics the rim of a glass for comfortable drinking.","Material: Vacuum insulated SUS316 stainless steel
Lid: Antimicrobial plastic with silicone gasket.
Hot Retention (6HRS) : Above 69° C
Hot Retention (1HRS) : Above 87° C
Cold Retention (6HRS) : Below 10° C
Warranty: 5 years (T&C apply)","- Bottle mouth with tapered metal edge tha mimics the rim of a glass.                                                                 
- 100% leak proof lid with handle.
- 55mm mouth wide- ",,,,,,,,,,,,,,,,,,,
,AMN-40 0.40L Slim Twist Cap Tumbler,,Slim Twist Cap Vacuum Tumbler 0.4L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 316 flask","The Peacock Slim Twist Cap Tumbler is seamless, stylish, and practical for everyday use. Available in a variety of vibrant colours to suit your aesthetic.",,"Acessorize your outfit with the Peacock Slim Twist Cap Tumbler! Seamlessly designed and available in a variety of colours to match your style, this tumbler is perfect for a fun day around town.

V2:
Step out in style with the Peacock Slim Twist Cap Tumbler by your side. Enjoy the stunning aesthetics of its slim and seamless design while this vacuum insulated tumbler keeps your drink hot or chilled to your liking.","Lightweight and seamless - Sleek bottle design for convenience and easy storage.

Vacuum insulated - Made of double-walled SUS304 stainless steel to keep hot or cold longer.

Easy to use - Equipped with polypropylene drinking cap for easy drinking and cleaning.","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (6HRS) : Above 67° C
Hot Retention (1HRS) : Above 86° C
Cold Retention (6HRS) : Below 10° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
,AMN-50 0.50L Slim Twist Cap Tumbler,,Slim Twist Cap Vacuum Tumbler 0.5L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 316 flask",The Peacock Slim Twist Cap Tumbler is perfect as your daily coffee flask or tea bottle. Vacuum insulated with heat retention for up to 6 hours.,,"Whether cafe hopping or chilling at home, the Peacock Slim Twist Cap Tumbler is the perfect choice to store your favourite coffee or tea. Its slim and seamless design makes easy to slip into a bag for effortless carrying.

V2:
The ultra-slim, ultra-chic Peacock Slim Twist Cap Tumbler is the perfect compliment to your daily style. Perfect for staying refreshed with cold tea or hot coffee, this tumbler is vacuum insulated to preserve the flavour and freshness of your drink.","Lightweight and seamless - Sleek bottle design for convenience and easy storage.

Vacuum insulated - Made of double-walled SUS304 stainless steel to keep hot or cold longer.

Easy to use - Equipped with polypropylene drinking cap for easy drinking and cleaning.
","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (6HRS) : Above 70° C
Hot Retention (1HRS) : Above 88° C
Cold Retention (6HRS) : Below 10° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
,AMZ-61 0.60L Stylish Twist Cap Tumbler,,Stylish Twist Cap Vacuum Tumbler 0.6L – Peacock Malaysia,"peacock lifestyle vacuum bottle, vacuum insulated bottle, heat retention, coffee flask, tea bottle, travel bottle, peacock stainless steel sus 316 flask","Stand out from the crowd with the Peacock Stylish Twist Cap Tumbler. Seamless and compact for easy storage, and simple to operate for a quick drink.",,"Show off your unique style with the Peacock Stylish Twist Cap Tumbler. Ideal as a travel bottle for your daily commute, it is equipped with an easy to open stopper for fuss-free drinking. 

V2:
The Peacock Stylish Twist Cap Tumbler is the perfect addition to your collection! Available in 3 bold colours, just fill it with your favourite drink and enjoy a refreshing pick-me-up wherever you are.","Vacuum insulated - Made of double-walled SUS304 stainless steel to keep hot or cold longer.

Seamless and compact - Convenient to carry with larger capacity for maximum hydration.

Easy to use - Equipped with polypropylene drinking cap for easy drinking and cleaning.
","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (6HRS) : Above 70° C
Hot Retention (1HRS) : Above 88° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
Children Bottle,ASF-61 0.58L Children Straw Bottle,,Children Straw Vacuum Bottle 0.58L – Peacock Malaysia,"peacock children bottle, travel bottle, vacuum bottle, heat retention, hot flask, cold flask, peacock stainless steel sus 316 flask","The Peacock Children Bottle is specially designed for little ones, with a convenient handle and auto shut off cup to prevent messy spills.",,"Easily pack hot chocolate or cold juices with the Peacock Children Bottle. Perfect as a travel bottle, it is easy to carry and hold with a detachable strap and child-friendly handle.


V2:
Ensure your little ones stay hydrated all day with the Peacock Children Straw Bottle! Lightweight and equipped with a convenient handle that makes it easy for little hands to hold, and made from rust-resistant SUS316 stainless steel for their safety.","SUS316 stainless steel - Made of rust-resistant, high quality stainless steel for your family's safety.

Designed for children - Suitable for school, travel and more, with detachable stopper and auto shut off cup for safety.

With strap and handle - Easy for children to carry and hold.

Drop-proof - Equipped with anti-shock silicone bottom cover to protect the bottle from fall damage.","Material: Vacuum insulated SUS316 stainless steel
Hot Retention (6HRS) : Above 71° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)",- Detachable stopper and auto shut off cup.,,,,,,,,,,,,,,,,,,,
,ASK-W40 0.40L Two Way Vacuum Bottle,,Children Two Way Vacuum Bottle 0.4L – Peacock Malaysia,"peacock children bottle, travel bottle, cold flask, keep cold, vacuum bottle, peacock stainless steel sus 304 flask",Enjoy versatility with the Peacock Children Two Way Vacuum Bottle! Choose from a straw or cup stopper to conveniently serve or drink.,,"Serve up hot cocoa or let your child sip cold juice directly from the bottle, the choice is yours! The Peacock Vacuum Bottle for children comes with two stoppers to sip or pour, and is easy to carry and hold for little ones.


V2:
Keep your kids hydrated fuss-free with the Peacock Children Two Way Vacuum Bottle. Protected by an anti-shock silicone bottom, children can sip directly from the spill-proof straw stopper to avoid any messes, or enjoy warm drinks served in a cup.","Two types of stoppers - Enjoy more vesatility with straw and cup type stoppers.

Designed for children - Suitable for school, kindergarten, travel and more!

With strap and handle - Easy for children to carry and hold.

Drop-proof - Equipped with anti-shock silicone bottom cover to protect the bottle from fall damage.
","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (6HRS) : Above 68° C
Cold Retention (10HRS) : Below 10° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
Mug & Cup Type Bottle,ASJ-81 0.76L Vacuum Flask With Cup & Strap,,Cup Type Vacuum Flask 0.76L – Peacock Malaysia,"peacock mug cup type bottle, coffee mug, coffee flask, heat retention, peacock stainless steel sus 304 flask",The Peacock Cup Type Vacuum Flask is perfect for bringing your favourite drinks on adventures. Use it as a coffee flask for a pick me up anytime.,,"Lock in the flavour and temperature of your beverages with the Peacock Cup Type Vacuum Flask. With cup and strap for you to easily bring along your favourite drinks, pour and serve.


V2:
Perfect for sharing, the Peacock Cup Type Vacuum Flask makes it easy to pour and serve your favourite hot or cold drinks. Made from vacuum insulated, high quality stainless steel to ensure your drink remains fresh and flavourful throughout your travels.","
24 hour heat retention - Keeps your beverages hot (above 50° C) for up to 24 hours.

Wide mouth design - 42mm mouth width easily fits ice cubes for cold beverages.

Detachable stopper - Stopper is easily detached for through cleaning.

Anti-fingerprint clear coating - Repels fingerprints for a clean look.
","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (6HRS) : Above 76° C
Cold Retention (6HRS) : Below 8°C
Warranty: 5 years (T&C apply)","
- Detachable stopper- easy to clean thoroughly. 
",,,,,,,,,,,,,,,,,,,
,ATB-440 0.44L Beverage Mug,,Stainless Steel Vacuum Mug 0.44L – Peacock Malaysia,"peacock mug cup type bottle, coffee mug, coffee flask, heat retention, peacock stainless steel sus 304 flask",Choose the Peacock Stainless Steel Vacuum Mug as your daily coffee mug! Made from high quality stainless steel with a sleek design for a timeless look. ,,"Level up your coffee experience with the Peacock Beverage Mug. Seamlessly designed and vacuum insulated to keep your drinks hot or cold for longer.


V2:
Enjoy a leisurely cup of piping hot coffee or tea with the Peacock Stainless Steel Vacuum Mug. Available in 2 elegant colours in a classic design that is a pleasure to behold.","Double-walled insulation - Retains heat and does not collect condensation on the outside when filled with ice cubes.
 
Wide mouth design - 70mm mouth width enables easy cleaning and easily fits ice cubes for cold beverages.

Anti-fingerprint clear coating - Repels fingerprints for a clean look.","Material: Vacuum insulated SUS304 stainless steel
Hot Retention (1HRS) : Above 51° C
Cold Retention (1HRS) : Below 7°C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
Sport Bottle,AJC-F101 1.0L Sport Bottle With Pouch,,Sport Bottle with Pouch 1.0L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, keep cold, vacuum bottle, peacock stainless steel sus 304 flask","Enjoy all-day hydration with the Peacock Sport Bottle with Pouch. Excellent for keeping cold drinks for a refreshing sip, anytime.",,"Stay hydrated on your workout with the Peacock Sport Bottle. Vacuum insulated to keep water or your favourite drinks cold, it is perfect to be used as an outdoor bottle.


V2:
Great for a day out on the hiking trails, the high capacity Peacock Sport Bottle with Pouch is great for staying hydrated on any activity. Made from durable high quality stainless steel and equipped with a pouch to protect it from damage.","Excellent cold retention - Ideal for cold drinks only.

With shoulder belt pouch - For protection from damage and easy carrying.

Slide to lock - Easy to open and drink one-handed.
","Material: Vacuum insulated SUS304 stainless steel
Cold Retention (6HRS) : Below 8° C
Warranty: 5 years (T&C apply)",*remove keep warm,,,,,,,,,,,,,,,,,,,
,AJD-61 0.6L Pentagon Sports Bottle,,Pentagon Sports Vacuum Bottle 0.6L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, keep cold, vacuum bottle, peacock stainless steel sus 304 flask","Make the Peacock Pentagon Sports Bottle your go-to gym bottle! Excellent for keeping cold drinks, with a twist cap for easy drinking. ",,"Have a drink on the go with the Peacock Pentagon Sports Bottle. The stopper is specially designed to be easy to hold and open/close for your convenience.

V2:
Stay hydrated without being weighed down! The lightweight Peacock Pentagon Sports Bottle is great when running or cycling, for a quick drink without losing your momentum.","Excellent cold retention - Ideal for cold drinks only.

Pentagon shaped stopper design - Stopper is easy to hold and open/close.

Fast hydration - Easily gulp your drink with this sports bottle.

High quality stainless steel - Made of SUS304 stainless steel for durability.","Material: Vacuum insulated SUS304 stainless steel
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","*remove keep warm 
- Gulp your drink with the sports bottle. ",,,,,,,,,,,,,,,,,,,
,AJD-81 0.8L Pentagon Sports Bottle,,Pentagon Sports Vacuum Bottle 0.8L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, keep cold, vacuum bottle, peacock stainless steel sus 304 flask","Perfect as an outdoor bottle, the Peacock Pentagon Sports Bottle's high capacity and vacuum insulation make it perfect for staying hydrated on the go.",,"The high capacity Peacock Pentagon Sports Bottle is the ultimate workout buddy. Perfect as a cold flask for storing iced water and drinks, with excellent cold retention capability for your enjoyment.

V2:
Stay cool with a refreshingly cold drink from your Peacock Pentagon Sports Bottle. Made from vacuum insulated stainless steel, its excellent insulation capability will ensure you won't end up with a mouthful of melted ice cubes. ","Excellent cold retention - Ideal for cold drinks only.

Pentagon shaped stopper design - Stopper is easy to hold and open/close.

Fast hydration - Easily gulp your drink with this sports bottle.

High quality stainless steel - Made of SUS304 stainless steel for durability.","Material: Vacuum insulated SUS304 stainless steel
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","*remove keep warm 
- Gulp your drink with the sports bottle. ",,,,,,,,,,,,,,,,,,,
,AJG-R150 1.50L One Touch Sports Bottle With Handle,,High Capacity Sports Vacuum Bottle 1.5L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, keep cold, high capacity bottle, rugged vacuum bottle, peacock stainless steel sus 316 flask",No activity is complete without the Peacock One Touch Sports Bottle. This high capacity vacuum bottle is perfect for bringing cold drinks on any adventure!,,"The Peacock One Touch Sports Bottle is perfect for any adventure! Equipped with 1.5L capacity and a convenient handle for easy carrying, this vacuum bottle is ideal for any activity. 

V2:
Large enough to last all day, the Peacock One Touch Sports Bottle has a huge 1.5L capacity! Equipped with an anti-shock bottom cover and leak-proof safety lock, this bottle is built to take on any adventure.","SUS316 stainless steel - Durable and suitable for sports beverages.

Excellent cold retention - Ideal for cold drinks only.

Easy to use - Stopper and gaskets are easy to clean, with an easy to drink mouth design and leak-proof safety lock.

Drop-proof - Equipped with detachable anti-shock silicone bottom cover to protect the bottle from fall damage.
","Material: Vacuum insulated SUS316 stainless steel
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","*remove keep warm
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly. 
- With handle-easy to carry the bottle around. ",,,,,,,,,,,,,,,,,,,
