SKU,COLOR,PRODUCT NAME,CAPACITY (ML),"PACKAGE DIMENSIONS (CM)
W X D X H",PACKAGE WEIGHT (KG),Material,PRODUCT DESCRIPTION / USP,HEAT / COLD RETENTION
AKF-500,"Red 
Khaki
Brown",500ML Light Weight Slim Bottle,500ML,6.4 X 7.5 X 23.6,0.25,SUS304,"- With leak proof ""lock ring""safety lock design.   
- Safe to carry around without leaking.
- Vacuum insulated keep hot or cold longer.               
- Seamless bottle design.                      
- Detachable stopper set east to clean all the parts thoroughly.                             
 - 44mm mouth width, even ice cubes can be put into the bottle easily. ","- Hot Retention (10HRS) : Above 66° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (10HRS) : Below 9° C"
AKF-60,"Red 
Khaki
Brown",600ML Light Weight Slim Bottle,600ML,6.9 X 7.5 X 25.1,0.27,SUS304,"- With leak proof ""lock ring""safety lock design.  
- Vacuum insulated keep hot or cold longer.
- Seamless bottle design.  
- Detachable stopper set east to clean all the parts thoroughly.                              
- 44mm mouth width, even ice cubes can be put into the bottle easily. ","- Hot Retention (10HRS) : Above 69° C 
- Hot Retention (1HRS) : Above 87° C
- Cold Retention (10HRS) : Below 9° C"
AMO-350,"Flamingo
White Smoke
Indigo",350ML Light Weight Slim Bottle,350ML,6.4 X 7.5 X 18.2,0.2,SUS304,"- With leak proof ""lock ring""safety lock design.  
- Vacuum insulated keep hot or cold longer.
- Seamless bottle design.  
- Detachable stopper set east to clean all the parts thoroughly.                              
- 44mm mouth width, even ice cubes can be put into the bottle easily. ","- Hot Retention (10HRS) : Above 59° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (10HRS) : Below 10° C"
AMO-500,"Flamingo
White Smoke
Indigo",500ML Light Weight Slim Bottle,500ML,6.4 X 7.5 X 23.6,0.25,SUS304,"- With leak proof ""lock ring""safety lock design.   
- Safe to carry around without leaking.
- Vacuum insulated keep hot or cold longer.               
- Seamless bottle design.                      
- Detachable stopper set east to clean all the parts thoroughly.                             
 - 44mm mouth width, even ice cubes can be put into the bottle easily. ","- Hot Retention (10HRS) : Above 66° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (10HRS) : Below 9° C"
APA-40,"Brown 
Pink 
Yellow ",400ML Straw Cold Bottle,400ML,6.6 X 7.1 X 19,0.21,SUS304,"- For Cold water-Vacuum insulated keep your beverage cold longer. 
- Large button that easy to press. Open with one push.
- 44mm mouth diameter , ice cubes can be put into the bottle. 
- Straw bottle for easy drinking
",- Cold Retention (6HRS) : Below 11° C
AKN-30,"Heart Mint 
Star White
Pearl Navy ",300ML SUS316 Japan Design One Touch Bottle,300ML,5.6 X 6.9 X 19.3,0.18,SUS316,"- SUS316 inner bottle                    
- Vacuum insulated keep hot or cold longer.               
- Lightweight one touch bottle.         
- ""Safety Lock"" - safe to carry around without leaking.  
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
- Easy to drink mouth design. The water flow from the drinking mouth is more concentrate than previous model.                               
- Slide to open design-easy to enjoy your beverages with one hand.                      
- Slide to lock-leak proof safety lock design. ","- Hot Retention (6HRS) : Above 58° C 
- Hot Retention (1HRS) : Above 83° C
- Cold Retention (6HRS) : Below 10° C"
AKT-35,"White(W)
Dusty Pink(PD) 
Charcoal Gray (HCH)
",350ML One Touch Bottle,350ML,6.8 X 6.8 X 19.1,0.25,SUS304,"-Double wall vacuum insulated bottle-Keey your beverage hot or cold longer.   
-Easy to clean. Whole washable.       
-With leak proof safy lock.","- Hot Retention (6HRS) : Above 61° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (6HRS) : Below 10° C"
AKT-50,"White(W)
Smoky Blue(ASM) 
Charcoal Gray(HCH)",500ML One Touch Bottle,500ML,6.8 X 6.8 X 24.6,0.31,SUS304,"-Double wall vacuum insulated bottle-Keey your beverage hot or cold longer.   
-Easy to clean. Whole washable.       
-With leak proof safy lock.","- Hot Retention (6HRS) : Above 68° C 
- Hot Retention (1HRS) : Above 86° C
- Cold Retention (6HRS) : Below 9° C"
AKT-60,"White(W)
Charcoal Gray(HCH) 
",600ML One Touch Bottle,600ML,6.8 X 6.8 X 25,0.33,SUS304,"-Double wall vacuum insulated bottle
-Keep your beverage hot or cold longer.   
-Easy to clean. Whole washable.       
-With leak proof safy lock.","- Hot Retention (6HRS) : Above 69° C 
- Hot Retention (1HRS) : Above 87° C
- Cold Retention (6HRS) : Below 9° C"
DPA-40,"Coral Pink (PRC)
Snow White (WY)
Smoky Blue (ASM)
Green (G)",400ML SUS316 One Touch Straw Bottle,400ML,7.7 X 7.7 X 20.5,,SUS316,"- Easy one-touch opening with one hand. Easy to press with button.
- A straw type that you can drink without taking your eyes off.
- With a cover that protects the bottom of the bottle from scratches and impacts.
- The inner bottle uses SUS316","- Hot Retention (6HRS) : Above 60° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (6HRS) : Below 11° C"
DPA-55,"Coral Pink (PRC)
Snow White (WY)
Smoky Blue (ASM)
Green (G)",550ML SUS316 One Touch Straw Bottle,550ML,7.7 X 7.7 X 25.7,,SUS316,"- Easy one-touch opening with one hand. Easy to press with button.
- A straw type that you can drink without taking your eyes off.
- With a cover that protects the bottom of the bottle from scratches and impacts.
- The inner bottle uses SUS316","- Hot Retention (6HRS) : Above 64° C 
- Hot Retention (1HRS) : Above 86° C
- Cold Retention (6HRS) : Below 10° C"
"AMI-F50AV
AMI-F50B","Purple 
Black", 500ML Stainless Steel One Touch Bottle with Pouch,500ML,7.2 X 7.3 X 24.7,0.35,SUS304,"-Double-walled insulated stainless steel bottle with easy to carry pouch.              
-Made of soft neoprene material pouch to protect your bottle surface from being scratched, scraping  extrusion and so on.                                                                     
-Easy to clean the stopper thoroughly with detachable stopper design.                
-Leak-proofed safety lock design. 

","- Hot Retention (6HRS) : Above 66° C 
- Hot Retention (1HRS) : Above 87° C
- Cold Retention (6HRS) : Below 9° C"
ATB-440,Stainless Steel Clear Gold,440ML Beverage Mug,440ML,8.3 X 8.2 X 15.7,0.22,SUS304,"- Vacuum insulated keep beverages hot or cold longer.                                       
- Anti-fingerprint clear coating.
- 70mm wide mouth design, Easy to clean
- No condensed water on the outside of the tumbler when filled with ice cubes. ","- Hot Retention (1HRS) : Above 51° C 
- Cold Retention (1HRS) : Below 7°C"
ASH-50,Stainless Steel,500ML Vacuum Flask w/Cup,500ML,,,SUS304,"- Compact design.
- Keep your beverages hot for 24 hours (over 46 degree C after 24 hours)
- Detachable stopper-easy to clean thoroughly.
- Anti-fingerprint clear coating. ","- Hot Retention (6HRS) : Above 74° C 
- Cold Retention (6HRS) : Below 9°C"
ASJ-81,Stainless Steel,760ML Vacuum Flask w/Cup & Strap,760ML,9.1 X 9.1 X 24.4,0.58,SUS304,"- Vacuum insulated keep beverages hot or cold longer. 
(Keep your beverages hot (over 50 degree C) for 24 hours. 
- Detachable stopper- easy to clean thoroughly. 
- Wide mouth design (42mm)
- Anti-fingerprint clear coating. ","- Hot Retention (6HRS) : Above 76° C 
- Cold Retention (6HRS) : Below 8°C"
ATG-45,"Charcoal Gray(HCH) 
Pearl Beige(CAS)
",450ML STRAW TUMBLER,450ML,9.3 X 9.3 X 16,0.29,SUS316,"-Double wall vacuum insulated bottle
-Keep your beverage hot or cold longer.  
-With Rust resistant SUS316 inner bottle. 
-Carbonated beverages OK.
-Straw type-easy to drink.
-Easy to clean with simple design.",- Cold Retention (1HRS) : Below 7°C
ANA-28,"Gray (H) 
Dark Blue (AD)
White (W)
Yellow (Y)",280ML Stainless Steel Coffee Mug,280ML,11.8 x 9.2 x 7.2,0.175,SUS304,"- Double wall vacuum insulated coffee mug
- Water level indicator on the wall of the mug to easily confirm the amount filled.
- With lid to prevent dust.
- Four colors available. ","- Hot Retention (1HRS) : Above 63° C 
- Cold Retention (1HRS) : Below 8°C"
ACD-18,BLACK(B),1.75L Stainless Steel Vacuum Wine Cooler,1.75L,11.9 X 11.9 X 22.8,0.6,,"-Double wall vacuum insulated wine cooler keep your beverages at the desired temperature.
-Condensation-free.   ",N/A
IBC-55,Stainless(XA),550ML MINI ICE PAIL,550ML,,,,"- Double wall vacuum insulated mini ice pail, keep your ice frozen longer.         
- Use this as an ice bucket for drinks or keep your beverage bottle cold.                    
- With ice tongs.                                            
- With the wooden lid that can be used as a small tray for dried fruits or cheese. 
",N/A
ACF-38,Stainless(XA),380ML VACUUM DRINKING VESSEL SET,380ML,,,,"- Double wall insulated stainless ""sake"" bottle keeps your liquors at the desired temperature longer.                                    
- 300ml capacity for the sake vessel and 0.04L for each sake cup. 
","- Hot Retention (1HRS) : Above 63° C 
- Cold Retention (1HRS) : Below 7°C"""
ATD-42,"Stainless(XA)
Black (B)",420ML BEER TUMBLER,420ML,8.5cm x 8cm x 17cm,,SUS304,"- Double wall vacuum insulated beer tumber keeps your beer cold and condensation-free.                                       
- Perfect size 420ml to enjoy your beer at home.                                                
- Keep your highball or Sawa delicious for hours.

","- Hot Retention (1HRS) : Above 48° C 
- Cold Retention (1HRS) : Below 8°C"
ATE-30,BLACK (B),270ML SHOCHU TUMBLER,270ML,,,,"- Double wall insulated stainless cup keeps your beverage in the ceramic cup at the desired temperature longer.           
- Microwave oven OK! Use microwave to heat your liquors in the ceramic cup. 
",
ATK-10,Stainless (XA),,,,,,,
ACE-12,Stainless (XA),,1250ML,,,,,
ATJ-50,Stainless (XA),,500ML,,,,,
ATJ-65,Black (B),,650ML,,,,,
AKX-R65,"Blue Black (AB)
Red Black (RB)
Green Black (GB)",650ML STRAW BOTTLE FOR GAMING,650ML,,,SUS316,"- Double wall vacuum insulated bottle-Keep your beverage hot or cold longer.    
- Inner bottle with rust resistant SUS316 material .                                          
- Carbonated beverages OK.                       
- Easy to hold the bottle with silicone grip (detachable silicone grip) 
- With detachable bottom cover to protect your bottle.                                      
- With handle design- easy to take your bottle with you.                                            


",- Cold Retention (6HRS) : Below 9°C
ATX-R55,"Blue Black (AB)
Red Black (RB)
Green Black (GB)",550ML STRAW TUMBLER FOR GAMING,550ML,,,SUS316,"- Double wall vacuum insulated bottle-Keep your beverage hot or cold longer.    
- Inner bottle with rust resistant SUS316 material .                                          
- Carbonated beverages OK.                       
- Adjustable straw design (with two short detachabe silicone straws)               
- Easy to open lid design.                            
- Easy to hold the bottle with silicone grip. (detachable silicone grip)                 
- With detachable botom cover to protect your bottle. 


",- Cold Retention (6HRS) : Below 7°C
ASF-61 (SUS316),"Pink
Blue",580ML Children Straw Bottle,580ML,10 X 9.9 X 21.7,0.48,SUS316,"- Suitable for school children, with shoulder belt.
- Vacuum insulated keep hot or cold longer.
- Detachable stopper and auto shut off cup.
- With handle design- Easy to hold their own bottle for toddlers. 
- With stap- easy to take the bottle with for toddlers.                                      
- With anti-shock silicone bottom cover to well protect the bottle. ","- Hot Retention (6HRS) : Above 71° C 
- Cold Retention (6HRS) : Below 9° C"
SSB-400,"Pink
Blue",400ML Stainless Steel Vacuum Bottle,400ML,,,SUS316,"- Vacuum insulated keep hot or cold longer.
- Press and drink with straw 
- Suitable for children",- Cold Retention (6HRS) : Below 11° C
ASK-W40,"Navy Dot 
Coral Red",400ML Two Way Vacuum Bottle,400ML,10.3 X 10 X 23.2,0.47,SUS304,"- Vacuum insulated keep hot or cold longer.
- Two types of stoppers available -stopper with straw and stopper with cup.
- With handle design- Easy to hold their own bottle for toddlers. 
- With stap- easy to take the bottle with for toddlers.                                      
- With anti-shock silicone bottom cover to well protect the bottle. ","- Hot Retention (6HRS) : Above 68° C 
- Cold Retention (10HRS) : Below 10° C"
AJE-F80,Blue(A),800ML S/STEEL VACUUM BOTTLE FOR SCHOOL,800ML,,,SUS316,"- Easy to clean with wide mouth (70mm) design.                                                       
- With rust-resistant SUS316 inner bottle .                                                                          
- With shoulder pad on the belt, easy to carry the bottle.                                                       
- With reflective safety belt to protect the safety of school children.                           
- Perfect size for school children. ",- Cold Retention (6HRS) : Below 7°C
AJE-F100,Blue(A),1.0L S/STEEL VACUUM BOTTLE FOR SCHOOL,1.0L,11 X 11 X 26.5,,SUS316,"- Easy to clean with wide mouth (70mm) design.                                                       
- With rust-resistant SUS316 inner bottle .                                                                          
- With shoulder pad on the belt, easy to carry the bottle.                                                       
- With reflective safety belt to protect the safety of school children.                           
- Perfect size for school children. ",- Cold Retention (6HRS) : Below 9°C
AJF-F80,Purple (AV),800ML S/STEEL VACUUM BOTTLE FOR SCHOOL,800ML,,,SUS316,"- Easy to clean with wide mouth (70mm) design.                                                       
- With rust-resistant SUS316 inner bottle .                                                                          
- With shoulder pad on the belt, easy to carry the bottle.                                                       
- With reflective safety belt to protect the safety of school children.                           
- Perfect size for school children. ",- Cold Retention (6HRS) : Below 7°C
AJF-F100,Purple (AV),1.0L S/STEEL VACUUM BOTTLE FOR SCHOOL,1.0L,11cm x 11cm x 26.5cm,,SUS316,"- Easy to clean with wide mouth (70mm) design.                                                       
- With rust-resistant SUS316 inner bottle .                                                                          
- With shoulder pad on the belt, easy to carry the bottle.                                                       
- With reflective safety belt to protect the safety of school children.                           
- Perfect size for school children. ",- Cold Retention (6HRS) : Below 9°C
AKE-R60,"Black Yellow
SMOKY BLUE",600ML SUS316 One Touch Sports Bottle,600ML,,,SUS316,"- SUS316 inner bottle, suitable for sports beverages. 
- Vacuum insulated keep hot or cold longer. 
 - Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
 - Easy to drink mouth design. 
- Leak proof safety lock design.
- Detachable anti-shock bottom cover to protect your bottle.","- Hot Retention (6HRS) : Above 69° C 
- Cold Retention (6HRS) : Below 9° C"
AKE-R80,"Black Yellow
Matt Clear ",800ML SUS316 One Touch Sports Bottle,800ML,8 X 8 X 26,0.42,SUS316,"- SUS316 inner bottle, suitable for sports beverages. 
- Vacuum insulated keep hot or cold longer. 
 - Simple stopper design. Easy to clean the stopper and gaskets thoroughly.
 - Easy to drink mouth design. 
- Leak proof safety lock design.
- Detachable anti-shock bottom cover to protect your bottle.","- Hot Retention (6HRS) : Above 72° C 
- Hot Retention (1HRS) : Above 88° C
- Cold Retention (6HRS) : Below 9° C"
AJG-R150,Black Yellow,1.5L SUS316 One Touch Sports Bottle w/Handle,1.5L,11.8 X 11.8 X 26.9,0.77,SUS316,"- SUS316 inner bottle, suitable for sports beverages.
- Vacuum insulated keep cold longer. 
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly. 
- Easy to drink mouth design.
- Leak proof safety lock design.
- Detachable anti-shock bottom cover to protect your bottle.
- With handle-easy to carry the bottle around. ",- Cold Retention (6HRS) : Below 9° C
AJG-R200,Black Yellow,2.0L SUS316 One Touch Sports Bottle w/Handle,2.0L,13.1 X 12.6 X 29.2 ,0.9,SUS316,"- SUS316 inner bottle, suitable for sports beverages.
- Vacuum insulated keep cold longer. 
- Simple stopper design. Easy to clean the stopper and gaskets thoroughly. 
- Easy to drink mouth design.
- Leak proof safety lock design.
- Detachable anti-shock bottom cover to protect your bottle.
- With handle-easy to carry the bottle around. ",- Cold Retention (6HRS) : Below 11° C
APA-R70,"Black Yellow
SMOKY BLUE",700ML SUS316 One Touch Sports Bottle w/Straw,700ML,,,SUS316,"- Easy one-touch opening with one hand. Easy to press with button.
- A straw type that you can drink without taking your eyes off.
- With a cover that protects the bottom of the bottle from scratches and impacts.
- A bottle for sports drinks. The inner bottle uses SUS316",- Cold Retention (6HRS) : Below 9° C
APA-R90,Black Yellow,900ML SUS316 One Touch Sports Bottle w/Straw,900ML,,,SUS316,"- Easy one-touch opening with one hand. Easy to press with button.
- A straw type that you can drink without taking your eyes off.
- With a cover that protects the bottom of the bottle from scratches and impacts.
- A bottle for sports drinks. The inner bottle uses SUS316",- Cold Retention (6HRS) : Below 8° C
AKD-RS100,"Signal Red
Mint Green 
All Black",1.0L SUS316 Screw Type Sports Bottle W/Strap,1.0L,,,SUS316,"- SUS316 inner bottle, suitable for sports beverages.
- Vacuum insulated keep hot & cold longer. 
- Easy to drink mouth design.
- Leak proof safety lock design.","- Hot Retention (6HRS) : Above 78° C 
- Hot Retention (1HRS) : Above 90° C
- Cold Retention (6HRS) : Below 8° C"
AMP-80,Stainless Steel,800ML SUS316 Men Stylish Sports Bottle,800ML,9 X 8.3 X 22.5,0.5,SUS316,"- SUS316 inner bottle-superior rust-resistant when compared with SUS304.
- Stylish design cover stopper.
- Easy to hold the bottle with the silicone grip cover. 
- Easy to enjoy your beverages with polypropylene ice block drinking cap.
- With bottom gasket to protect your bottle from scratch. ","- Hot Retention (6HRS) : Above 71° C 
- Hot Retention (1HRS) : Above 88° C
- Cold Retention (6HRS) : Below 9° C"
AMP-100,Stainless Steel,1.0L SUS316 Men Stylish Sports Bottle,1.0L,9 X 8.3 X 27.2,0.56,SUS316,"- SUS316 inner bottle-superior rust-resistant when compared with SUS304.
- Stylish design cover stopper.
- Easy to hold the bottle with the silicone grip cover. 
- Easy to enjoy your beverages with polypropylene ice block drinking cap.
- With bottom gasket to protect your bottle from scratch. 
- Keep the bottle warm (Hot or Cold) up to 24 hours.","- Hot Retention (6HRS) : Above 74° C 
- Hot Retention (1HRS) : Above 88° C
- Cold Retention (6HRS) : Below 9° C"
AJD-61,"Coral
Citron
Mint Green ",600ML Pentagon Sports Bottle,600ML,7.9 X 7.6 X 24.2,0.3,SUS304,"- For Cold water-Vacuum insulated keep your beverage cold longer. 
- Pentagon shape stopper design- easy to hold the stopper and open it/close it. 
- Gulp your drink with the sports bottle. ",- Cold Retention (6HRS) : Below 9° C
AJD-81,"Marine Blue
Stainless",800ML Pentagon Sports Bottle,800ML,8.7 X 8.7 X 25.7,0.38,SUS304,"- For Cold water-Vacuum insulated keep your beverage cold longer. 
- Pentagon shape stopper design- easy to hold the stopper and open it/close it. 
- Gulp your drink with the sports bottle. ",- Cold Retention (6HRS) : Below 9° C
AJC-F81,"Pink Flower
Blue",800ML Sports Bottle w/Pouch,800ML,,,SUS304,"- Vacuum insulated keep your beverage cold longer.                                       
- With shoulder belt pouch.
- Slide to lock-one touch open type. ",- Cold Retention (6HRS) : Below 10° C
AJC-F101,"Navy Flower
Blue",1.0L Sports Bottle w/Pouch,1.0L,11 X 11 X 33.7,0.58,SUS304,"- Vacuum insulated keep your beverage cold longer.                                       
- With shoulder belt pouch.
- Slide to lock-one touch open type. ",- Cold Retention (6HRS) : Below 8° C
AJC-F151,"Pink
Blue",1.5L Sports Bottle W/Pouch,1.5L,11 X 11 X 33.8,0.76,SUS304,"- Vacuum insulated keep your beverage cold longer.                                       
- With shoulder belt pouch.
- Slide to lock-one touch open type. ",- Cold Retention (6HRS) : Below 7° C
AKR-60,"Red
Green",600ML SUS316 Handle Lid Bottle,600ML,8 X 7.8 X 23.9,0.35,SUS316,"- Vacuum insulated with rust-resistant SUS316 stainless steel inner bottle.
- Easy to drink with plastic drinkng cap that mimics the rim of a glass.
- Lid with handle- easy to take your bottle with you.
- 100% leaproof lid with styrofoam inside to enhace the retention capability of your bottle. ","- Hot Retention (6HRS) : Above 70° C 
- Hot Retention (1HRS) : Above 88° C
- Cold Retention (6HRS) : Below 9°C"
AKR-80,"Blue
Black",800ML SUS316 Handle Lid Bottle,800ML,8.1 X 8.1 X 28.7,0.41,SUS316,"- Vacuum insulated with rust-resistant SUS316 stainless steel inner bottle.
- Easy to drink with plastic drinkng cap that mimics the rim of a glass.
- Lid with handle- easy to take your bottle with you.
- 100% leaproof lid with styrofoam inside to enhace the retention capability of your bottle. ","- Hot Retention (6HRS) : Above 74° C 
- Hot Retention (1HRS) : Above 89° C
- Cold Retention (6HRS) : Below 8° C"
LKD-30,"Citron Yellow 
Sand Beige",300ML SUS316 Mini Food Jar,300ML,9.2 X 9.2 X 12,0.28,SUS316,"- SUS316 rust resistant stainless steel inner bottle.
- Detachable lid design. Easy to clean the lid thoroughly. 
- Vacuum insulated to keep food or soup hot or cold longer.
- Compact dsign.  ","- Hot Retention (6HRS) : Above 55° C 
- Hot Retention (1HRS) : Above 83° C
- Cold Retention (6HRS) : Below 12° C"
LKC-38,"Khaki
Ivory",380ML Stylish Food Jar,380ML,,,SUS304,"- Detachable lid design. Easy to clean the lid thoroughly. 
- Vacuum insulated to keep food or soup hot or cold longer.
- Simple design with less parts when compared with other brands° .
- Pressure releasing mechanism to release the pressure inside the jar due to the heat.","- Hot Retention (6HRS) : Above 59° C 
- Hot Retention (1HRS) : Above 84° C
- Cold Retention (6HRS) : Below 11° C"
LKC-50,"Khaki
Ivory",500ML Stylish Food Jar,500ML,10.2 X 10.2 X 18.1,0.43,SUS304,"- Detachable lid design. Easy to clean the lid thoroughly. 
- Vacuum insulated to keep food or soup hot or cold longer.
- Simple design with less parts when compared with other brands° .
- Pressure releasing mechanism to release the pressure inside the jar due to the heat.","- Hot Retention (6HRS) : Above 64° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (6HRS) : Below 10° C"
"DKC-50
(NEW)","Khaki
Ivory",500ML Stylish Food Jar,500ML,10.2 X 10.2 X 18.1,0.43,SUS316,"- Detachable lid design. Easy to clean the lid thoroughly. 
- Vacuum insulated to keep food or soup hot or cold longer.
- Simple design with less parts when compared with other brands° .
- Pressure releasing mechanism to release the pressure inside the jar due to the heat.","- Hot Retention (6HRS) : Above 64° C 
- Hot Retention (1HRS) : Above 85° C
- Cold Retention (6HRS) : Below 10° C"
